date,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,long_term_equity_investment,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,hedging_assets_current,inventory,finished_goods,work_in_process,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,ticker,treasury_shares_number,current_capital_lease_obligation,other_current_borrowings,commercial_paper,non_current_deferred_assets,non_current_deferred_taxes_assets,other_investments,investmentin_financial_assets,available_for_sale_securities,other_receivables,minority_interest,preferred_stock,derivative_product_liabilities,construction_in_progress,prepaid_assets,treasury_stock,additional_paid_in_capital,current_accrued_expenses,inventories_adjustments_allowances,other_inventories,investments_in_other_ventures_under_equity_method,receivables_adjustments_allowances,loans_receivable,employee_benefits,current_provisions,interest_payable,other_payable,non_current_prepaid_assets,preferred_securities_outside_stock_equity,financial_assets,trading_securities,assets_held_for_sale_current,dueto_related_parties_current,duefrom_related_parties_current,non_current_accrued_expenses,long_term_provisions,line_of_credit,taxes_receivable,preferred_shares_number,preferred_stock_equity,held_to_maturity_securities,cash_cash_equivalents_and_federal_funds_sold,liabilities_heldfor_sale_non_current,current_deferred_assets,financial_assets_designatedas_fair_value_through_profitor_loss_total,restricted_cash,other_equity_interest,non_current_pension_and_other_postretirement_benefit_plans,dividends_payable,foreign_currency_translation_adjustments,minimum_pension_liabilities,unrealized_gain_loss,non_current_note_receivables,non_current_accounts_receivable,defined_pension_benefit
2023-05-31,2713000000.0,2713000000.0,80716000000.0,90481000000.0,-71025000000.0,91554000000.0,-2086000000.0,-71025000000.0,,1073000000.0,87493000000.0,1556000000.0,1073000000.0,-1522000000.0,-1522000000.0,-27620000000.0,30215000000.0,30215000000.0,132828000000.0,109738000000.0,6469000000.0,11077000000.0,5772000000.0,,5772000000.0,86420000000.0,,86420000000.0,23090000000.0,6802000000.0,8970000000.0,8970000000.0,4061000000.0,4061000000.0,2053000000.0,1204000000.0,1204000000.0,,,1204000000.0,134384000000.0,113380000000.0,11987000000.0,,,72098000000.0,9837000000.0,62261000000.0,17069000000.0,-11605000000.0,28674000000.0,,,17705000000.0,5880000000.0,1243000000.0,0.0,21004000000.0,3902000000.0,,,,,,6915000000.0,6915000000.0,-428000000.0,7343000000.0,10187000000.0,422000000.0,9765000000.0,,,ORCL,,,4061000000.0,,12226000000.0,12226000000.0,,,,,483000000.0,0.0,-52000000.0,3846000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-31,2665000000.0,2665000000.0,54499000000.0,75882000000.0,-51471000000.0,69662000000.0,12122000000.0,-51471000000.0,,-6220000000.0,65913000000.0,-5768000000.0,-6220000000.0,-1692000000.0,-1692000000.0,-31336000000.0,26808000000.0,26808000000.0,115065000000.0,95554000000.0,5203000000.0,12210000000.0,6031000000.0,,6031000000.0,72133000000.0,,72133000000.0,19511000000.0,4144000000.0,8357000000.0,8357000000.0,3749000000.0,3749000000.0,1944000000.0,1317000000.0,1317000000.0,,,1317000000.0,109297000000.0,77664000000.0,9915000000.0,,,45251000000.0,1440000000.0,43811000000.0,9716000000.0,-9958000000.0,19674000000.0,,,13267000000.0,4729000000.0,1166000000.0,0.0,31633000000.0,3778000000.0,,,,,,5953000000.0,5953000000.0,-362000000.0,6315000000.0,21902000000.0,519000000.0,21383000000.0,,,ORCL,,,3749000000.0,,12782000000.0,12782000000.0,,,,,452000000.0,0.0,-23000000.0,512000000.0,3778000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,2814000000.0,2814000000.0,54147000000.0,84245000000.0,-41127000000.0,89483000000.0,31403000000.0,-41127000000.0,,5238000000.0,81233000000.0,5952000000.0,5238000000.0,-1175000000.0,-1175000000.0,-20120000000.0,26533000000.0,26533000000.0,125155000000.0,100991000000.0,4787000000.0,12345000000.0,7864000000.0,,7864000000.0,75995000000.0,,75995000000.0,24164000000.0,4377000000.0,8775000000.0,8775000000.0,8250000000.0,8250000000.0,2017000000.0,745000000.0,745000000.0,,,745000000.0,131107000000.0,75540000000.0,8490000000.0,,,46365000000.0,2430000000.0,43935000000.0,7049000000.0,-8751000000.0,15800000000.0,,,9962000000.0,4734000000.0,871000000.0,0.0,55567000000.0,3604000000.0,,,,,,5409000000.0,5409000000.0,-373000000.0,5782000000.0,46554000000.0,16456000000.0,30098000000.0,,,ORCL,,,8250000000.0,,13636000000.0,13636000000.0,,,,,714000000.0,0.0,,233000000.0,3604000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCL,,,2371000000.0,,,,,,,,,,,,3532000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,10383000000.0,10898000000.0,,135611000000.0,171399000000.0,260189000000.0,7434000000.0,171399000000.0,77297000000.0,201875000000.0,260189000000.0,201875000000.0,201875000000.0,-3040000000.0,-3040000000.0,113618000000.0,109000000.0,109000000.0,325979000000.0,161062000000.0,25451000000.0,,,,,135611000000.0,77297000000.0,58314000000.0,164917000000.0,,15227000000.0,15227000000.0,,,,149690000000.0,84981000000.0,,,84981000000.0,527854000000.0,355503000000.0,48337000000.0,,,30476000000.0,7687000000.0,22789000000.0,276690000000.0,-120111000000.0,396801000000.0,,262668000000.0,,,105293000000.0,105293000000.0,172351000000.0,,,33318000000.0,,,,52253000000.0,52253000000.0,-1700000000.0,53953000000.0,86780000000.0,13393000000.0,73387000000.0,,,AMZN,515000000.0,,,,,,,,,,,0.0,,28840000000.0,,7837000000.0,99025000000.0,64709000000.0,-3000000000.0,36318000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,10242000000.0,10757000000.0,13262000000.0,140118000000.0,119658000000.0,213193000000.0,-8602000000.0,119658000000.0,72968000000.0,146043000000.0,213193000000.0,146043000000.0,146043000000.0,-4487000000.0,-4487000000.0,83193000000.0,108000000.0,108000000.0,316632000000.0,161239000000.0,21121000000.0,,,,,140118000000.0,72968000000.0,67150000000.0,155393000000.0,,13227000000.0,13227000000.0,,,,142166000000.0,79600000000.0,,,79600000000.0,462675000000.0,315884000000.0,36661000000.0,,,26385000000.0,6097000000.0,20288000000.0,252838000000.0,-97015000000.0,349853000000.0,,228183000000.0,,,91650000000.0,91650000000.0,146791000000.0,,,34405000000.0,,,,42360000000.0,42360000000.0,-1400000000.0,43760000000.0,70026000000.0,16138000000.0,53888000000.0,,,AMZN,515000000.0,,,,,,,,,,,0.0,,30020000000.0,,7837000000.0,75066000000.0,62566000000.0,-2800000000.0,37205000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,10180000000.0,10640000000.0,12524000000.0,116395000000.0,117767000000.0,186989000000.0,19314000000.0,117767000000.0,67651000000.0,138245000000.0,186989000000.0,138245000000.0,138245000000.0,-1376000000.0,-1376000000.0,85915000000.0,106000000.0,106000000.0,282304000000.0,140038000000.0,23643000000.0,,,,,116395000000.0,67651000000.0,48744000000.0,142266000000.0,,11827000000.0,11827000000.0,,,,130439000000.0,78664000000.0,,,78664000000.0,420549000000.0,258969000000.0,22128000000.0,,,20478000000.0,5107000000.0,15371000000.0,216363000000.0,-78519000000.0,294882000000.0,,188883000000.0,128683000000.0,,81104000000.0,81104000000.0,161580000000.0,,,32640000000.0,32640000000.0,,,32891000000.0,32891000000.0,-1100000000.0,33991000000.0,96049000000.0,59829000000.0,36220000000.0,,,AMZN,460000000.0,,,,,,,,,,,0.0,,24895000000.0,,1837000000.0,55437000000.0,51775000000.0,-2600000000.0,35240000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,10060000000.0,10540000000.0,,84389000000.0,73406000000.0,125220000000.0,6348000000.0,73406000000.0,52573000000.0,93404000000.0,125220000000.0,93404000000.0,93404000000.0,-180000000.0,-180000000.0,52551000000.0,5000000.0,5000000.0,227791000000.0,101406000000.0,17017000000.0,,,,,84389000000.0,52573000000.0,31816000000.0,126385000000.0,,9708000000.0,9708000000.0,,,,116677000000.0,72539000000.0,,,72539000000.0,321195000000.0,188462000000.0,17797000000.0,,,19998000000.0,4981000000.0,15017000000.0,150667000000.0,-60434000000.0,211101000000.0,,138549000000.0,97224000000.0,,57324000000.0,57324000000.0,132733000000.0,,,23795000000.0,23795000000.0,,,24542000000.0,24542000000.0,-1100000000.0,25642000000.0,84396000000.0,42274000000.0,42122000000.0,,,AMZN,480000000.0,,,,,,,,,,,0.0,,15228000000.0,,1837000000.0,42865000000.0,44138000000.0,-2300000000.0,26095000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,1441483.0,1658096.0,90249000000.0,128271000000.0,447320000000.0,689544000000.0,,447320000000.0,,561273000000.0,684209000000.0,570770000000.0,561273000000.0,-3763000000.0,-3763000000.0,607350000000.0,8000000.0,8000000.0,499208000000.0,,,,93009000000.0,,93009000000.0,122936000000.0,,122936000000.0,,,,,5335000000.0,5335000000.0,,54863000000.0,,,,,1069978000000.0,,,536285000000.0,29066000000.0,113953000000.0,29327000000.0,84626000000.0,216593000000.0,,,,,,,,,,,,,,,,51260000000.0,46595000000.0,,,167641000000.0,129619000000.0,38022000000.0,,,BRK-B,216613.0,,5335000000.0,,,,,,,5497000000.0,9497000000.0,,,,,76802000000.0,34480000000.0,,,,29066000000.0,-832000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,1459733.0,1658095.0,86933000000.0,122744000000.0,366118000000.0,596168000000.0,,366118000000.0,,473424000000.0,593739000000.0,481681000000.0,473424000000.0,-5052000000.0,-5052000000.0,511127000000.0,8000000.0,8000000.0,466784000000.0,,,,77368000000.0,,77368000000.0,120315000000.0,,120315000000.0,,,,,2429000000.0,2429000000.0,,49816000000.0,,,,,948465000000.0,,,454745000000.0,28050000000.0,107306000000.0,29187000000.0,78119000000.0,196965000000.0,,,,,,,,,,,,,,,,48285000000.0,44193000000.0,,,128585000000.0,92774000000.0,35811000000.0,,,BRK-B,198362.0,,2429000000.0,,,,,,,4908000000.0,8257000000.0,,,,,67826000000.0,35167000000.0,,,,28050000000.0,-816000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
